Name,Bed Size,Abbrev,Category
ANAHEIM GENERAL HOSPITAL,,AGEN,HOSPITAL
ANAHEIM MEMORIAL MEDICAL CENTER,,AMMC,HOSPITAL
CHAPMAN MEDICAL CENTER,,CHAP,HOSPITAL
CHILDREN'S HOSPITAL AT MISSION,,CMIS,HOSPITAL
CHILDREN'S HOSPITAL OF ORANGE COUNTY,,CHOC,HOSPITAL
COASTAL COMMUNITIES HOSPITAL,,COAS,HOSPITAL
COLLEGE HOSPITAL COSTA MESA,,COLL,HOSPITAL
FOUNTAIN VALLEY REGIONAL HOSPITAL & MC,,FVRH,HOSPITAL
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,,GGMC,HOSPITAL
HEALTHBRIDGE CHILDREN'S HOSPITAL,,HBRI,HOSPITAL
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,,HSOU,HOSPITAL
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,,HOAG,HOSPITAL
HUNTINGTON BEACH HOSPITAL,,HBHO,HOSPITAL
IRVINE REGIONAL HOSPITAL AND MEDICAL CENTER,,IRVR,HOSPITAL
KAISER FOUNDATION HOSPITAL - ANAHEIM,,KAIA,HOSPITAL
KINDRED HOSPITAL BREA,,KINB,HOSPITAL
KINDRED HOSPITAL SANTA ANA,,,HOSPITAL
KINDRED HOSPITAL WESTMINSTER,,KINW,HOSPITAL
LA PALMA INTERCOMMUNITY HOSPITAL,,LPIH,HOSPITAL
LOS ALAMITOS MEDICAL CENTER,,LAMC,HOSPITAL
MISSION HOSPITAL REGIONAL MEDICAL CENTER,,MISS,HOSPITAL
ORANGE COAST MEMORIAL MEDICAL CENTER,,OCMM,HOSPITAL
PLACENTIA LINDA HOSPITAL,,PLAC,HOSPITAL
SADDLEBACK MEMORIAL MC - LAGUNA HILLS,,SMMC,HOSPITAL
SADDLEBACK MEMORIAL MC - SAN CLEMENTE,,SCLE,HOSPITAL
SOUTH COAST MEDICAL CENTER,,SCOA,HOSPITAL
ST. JOSEPH HOSPITAL - ORANGE,,SJOS,HOSPITAL
ST. JUDE MEDICAL CENTER,,SJUD,HOSPITAL
TUSTIN HOSPITAL MEDICAL CENTER,,TUSH,HOSPITAL
UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,,UCIM,HOSPITAL
WEST ANAHEIM MEDICAL CENTER,,WAMC,HOSPITAL
WESTERN MEDICAL CENTER - SANTA ANA,,WMCS,HOSPITAL
WESTERN MEDICAL CENTER - ANAHEIM,,WMCA,HOSPITAL
